customer_id,order_date,first_purchase,days_to_second_purchase
12455,2011-02-17 17:05:00,2011-02-16 09:56:00,1
12456,2011-07-31 15:25:00,2011-03-30 09:12:00,123
12457,2011-04-15 13:48:00,2011-04-14 18:57:00,0
12458,2011-09-29 15:25:00,2011-02-28 10:55:00,213
12461,2011-09-06 16:57:00,2011-07-08 10:23:00,60
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,284
12463,2011-05-17 10:02:00,2011-04-12 12:47:00,34
12464,2011-02-28 12:08:00,2011-02-03 13:30:00,24
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,152
12468,2011-06-05 11:36:00,2011-01-27 13:29:00,128
12471,2010-12-10 09:48:00,2010-12-10 09:35:00,0
12472,2011-01-26 12:27:00,2010-12-05 14:19:00,51
12473,2011-08-17 12:04:00,2011-06-01 10:15:00,77
12474,2011-01-14 14:45:00,2011-01-14 10:06:00,0
12476,2011-01-31 11:46:00,2010-12-13 14:39:00,48
12477,2011-04-14 13:59:00,2011-02-11 12:45:00,62
12480,2011-03-17 13:23:00,2011-01-07 15:27:00,68
12481,2010-12-20 15:15:00,2010-12-09 10:13:00,11
12483,2011-04-27 13:13:00,2011-01-04 14:20:00,112
12484,2011-06-16 11:30:00,2011-01-07 14:04:00,159
12488,2011-10-31 10:42:00,2011-09-25 10:34:00,36
12490,2011-05-09 09:47:00,2011-01-14 09:13:00,115
12492,2011-10-07 15:15:00,2011-08-26 14:51:00,42
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,31
12494,2010-12-16 11:24:00,2010-12-09 11:31:00,6
12498,2011-11-18 12:52:00,2011-10-13 09:30:00,36
12500,2011-02-17 12:23:00,2011-01-10 09:48:00,38
12502,2011-03-16 13:29:00,2011-02-03 10:41:00,41
12504,2011-11-21 16:02:00,2011-11-09 14:56:00,12
12507,2011-07-07 10:20:00,2011-02-14 09:24:00,143
12508,2011-11-13 15:37:00,2011-11-10 16:27:00,2
12510,2011-07-20 10:15:00,2011-01-18 14:04:00,182
12512,2011-10-04 14:55:00,2011-10-04 14:53:00,0
12516,2011-09-23 09:13:00,2011-06-12 11:37:00,102
12517,2011-08-05 15:02:00,2011-06-02 15:13:00,63
12518,2011-09-23 15:45:00,2011-08-21 13:18:00,33
12520,2011-03-25 08:50:00,2011-03-11 11:35:00,13
12522,2011-10-31 15:30:00,2011-10-19 14:41:00,12
12523,2011-02-21 14:58:00,2011-01-12 09:43:00,40
12524,2011-02-21 10:53:00,2011-01-10 10:35:00,42
12526,2011-10-17 09:37:00,2011-09-06 14:19:00,40
12527,2011-02-18 09:41:00,2011-01-18 12:05:00,30
12528,2011-03-08 11:46:00,2011-01-31 09:05:00,36
12530,2011-04-20 09:31:00,2011-01-07 10:04:00,102
12535,2011-09-09 08:48:00,2011-06-06 12:47:00,94
12536,2011-10-27 14:13:00,2011-10-11 14:52:00,15
12539,2011-01-27 11:05:00,2011-01-10 09:11:00,17
12540,2011-01-11 12:25:00,2010-12-13 09:39:00,29
12541,2011-06-19 15:59:00,2011-03-04 09:32:00,107
12545,2011-09-25 13:39:00,2011-03-25 12:04:00,184
12546,2011-10-24 12:09:00,2011-09-23 09:44:00,31
12547,2011-05-26 12:38:00,2011-03-04 12:46:00,82
12552,2011-11-01 10:02:00,2011-10-31 12:11:00,0
12553,2011-02-18 15:23:00,2011-01-14 10:42:00,35
12556,2011-10-20 13:06:00,2011-07-11 13:35:00,100
12557,2011-01-11 11:39:00,2010-12-03 12:20:00,38
12559,2011-02-02 09:49:00,2011-01-24 10:12:00,8
12560,2011-08-19 15:22:00,2011-07-19 15:55:00,30
12562,2011-06-16 15:22:00,2011-05-25 12:44:00,22
12567,2010-12-07 10:36:00,2010-12-05 11:57:00,1
12569,2011-04-14 09:56:00,2011-04-01 13:47:00,12
12571,2011-10-31 10:19:00,2011-08-10 12:35:00,81
12572,2011-12-01 09:20:00,2011-10-19 08:20:00,43
12576,2011-05-05 15:08:00,2011-02-08 11:31:00,86
12577,2011-11-04 13:15:00,2010-12-15 16:21:00,323
12578,2011-11-18 13:30:00,2011-01-13 15:34:00,308
12582,2011-04-15 08:45:00,2011-02-24 11:42:00,49
12583,2011-01-07 12:07:00,2010-12-01 08:45:00,37
12584,2011-06-07 13:00:00,2011-03-04 15:15:00,94
12585,2011-04-19 13:39:00,2010-12-23 12:58:00,117
12589,2011-11-11 10:19:00,2011-07-18 12:05:00,115
12590,2011-05-12 14:52:00,2011-05-12 14:46:00,0
12592,2011-09-08 15:04:00,2011-05-10 13:44:00,121
12593,2011-08-02 09:55:00,2011-05-05 09:29:00,89
12594,2011-02-18 12:28:00,2011-01-21 09:52:00,28
12596,2011-10-19 13:02:00,2011-04-11 13:22:00,190
12597,2011-06-09 16:04:00,2011-03-16 14:00:00,85
12598,2011-05-03 08:40:00,2011-02-28 11:58:00,63
12599,2011-02-27 11:58:00,2011-02-08 13:28:00,18
12600,2010-12-17 09:24:00,2010-12-03 12:57:00,13
12601,2011-02-10 09:43:00,2011-01-11 10:38:00,29
12604,2011-09-21 14:08:00,2011-03-23 12:06:00,182
12609,2011-06-06 15:31:00,2011-01-25 15:13:00,132
12610,2011-08-25 12:57:00,2011-08-05 13:52:00,19
12613,2011-03-22 15:46:00,2011-03-22 15:42:00,0
12615,2011-09-29 10:23:00,2011-06-24 13:35:00,96
12616,2011-09-05 15:17:00,2011-02-15 14:17:00,202
12619,2011-04-19 14:02:00,2011-03-31 13:10:00,19
12620,2011-09-20 10:06:00,2011-05-19 12:10:00,123
12621,2010-12-17 12:38:00,2010-12-09 10:16:00,8
12624,2011-08-25 15:04:00,2011-06-15 12:34:00,71
12625,2011-05-12 09:54:00,2011-01-24 13:27:00,107
12626,2011-01-27 13:42:00,2011-01-17 11:01:00,10
12627,2011-08-02 09:29:00,2011-07-22 13:59:00,10
12628,2011-11-06 14:26:00,2011-10-06 09:28:00,31
12630,2011-11-30 10:48:00,2011-10-27 10:41:00,34
12633,2011-05-27 10:29:00,2011-02-25 08:44:00,91
12635,2011-09-11 11:04:00,2011-07-08 08:43:00,65
12637,2011-03-21 12:42:00,2011-01-20 10:47:00,60
12640,2011-11-15 08:43:00,2011-09-19 12:01:00,56
12642,2011-10-20 12:31:00,2011-08-24 09:23:00,57
12643,2011-05-03 12:02:00,2011-01-11 11:48:00,112
12645,2011-05-04 12:11:00,2011-01-27 13:08:00,96
12646,2011-12-05 10:14:00,2011-10-21 12:52:00,44
12647,2010-12-05 14:03:00,2010-12-05 14:02:00,0
12649,2011-08-24 14:40:00,2011-05-11 14:37:00,105
12653,2011-07-14 10:41:00,2011-02-16 10:53:00,147
12654,2011-05-26 10:41:00,2011-02-17 13:16:00,97
12656,2011-05-20 11:34:00,2011-04-20 09:20:00,30
12657,2011-10-28 18:07:00,2011-09-22 11:40:00,36
12662,2011-02-03 13:58:00,2010-12-01 13:04:00,64
12664,2011-04-21 14:33:00,2011-01-21 11:42:00,90
12668,2011-01-31 13:27:00,2010-12-19 12:46:00,43
12669,2011-04-05 09:45:00,2011-03-28 10:15:00,7
12670,2011-05-24 09:25:00,2011-04-21 10:16:00,32
12673,2011-12-04 13:55:00,2011-01-17 11:46:00,321
12674,2011-06-22 09:43:00,2011-05-16 09:10:00,37
12676,2011-03-24 11:40:00,2011-02-01 15:41:00,50
12678,2010-12-21 14:26:00,2010-12-21 11:00:00,0
12679,2011-05-18 12:18:00,2011-03-01 12:26:00,77
12680,2011-09-11 12:27:00,2011-08-18 15:44:00,23
12681,2010-12-20 14:10:00,2010-12-07 10:08:00,13
12682,2010-12-09 14:49:00,2010-12-03 13:59:00,6
12683,2010-12-09 12:17:00,2010-12-09 10:37:00,0
12684,2011-05-16 14:17:00,2011-05-10 12:55:00,6
12685,2011-09-08 10:32:00,2011-09-07 10:28:00,1
12689,2011-11-14 08:31:00,2011-08-04 10:04:00,101
12691,2011-01-24 15:32:00,2010-12-17 14:46:00,38
12693,2011-03-20 13:59:00,2011-01-24 12:58:00,55
12694,2011-09-30 13:06:00,2011-06-09 17:48:00,112
12695,2011-08-24 12:58:00,2011-05-13 13:15:00,102
12697,2011-07-31 14:17:00,2011-06-23 15:44:00,37
12700,2011-07-06 13:14:00,2011-05-08 16:10:00,58
12701,2011-09-21 10:47:00,2011-04-11 13:02:00,162
12704,2011-08-04 10:00:00,2011-06-23 10:20:00,41
12705,2011-04-08 09:54:00,2010-12-17 15:58:00,111
12708,2011-01-14 09:23:00,2010-12-06 10:43:00,38
12709,2010-12-17 12:02:00,2010-12-08 09:49:00,9
12710,2011-07-01 13:22:00,2011-05-22 14:05:00,39
12712,2010-12-09 11:39:00,2010-12-03 14:30:00,5
12714,2011-05-17 09:28:00,2011-02-18 10:53:00,87
12716,2011-12-06 08:55:00,2011-07-29 13:28:00,129
12717,2011-07-11 14:47:00,2011-04-08 10:32:00,94
12719,2011-12-04 13:45:00,2011-10-05 14:50:00,59
12720,2010-12-17 12:56:00,2010-12-05 15:21:00,11
12721,2011-02-09 10:11:00,2010-12-20 11:38:00,50
12722,2011-08-14 11:16:00,2011-07-12 11:55:00,32
12723,2011-10-05 15:56:00,2011-10-05 15:52:00,0
12724,2011-06-19 13:37:00,2011-01-11 15:00:00,158
12726,2011-01-28 10:45:00,2010-12-17 12:56:00,41
12727,2011-02-16 11:45:00,2011-01-23 15:17:00,23
12728,2011-02-28 14:42:00,2011-01-11 13:31:00,48
12731,2011-01-31 09:57:00,2010-12-10 10:56:00,51
12735,2011-01-28 13:37:00,2011-01-06 14:26:00,21
12739,2011-09-22 13:00:00,2011-09-01 17:45:00,20
12743,2011-07-28 16:21:00,2011-07-28 16:06:00,0
12744,2011-04-04 13:03:00,2011-01-25 13:26:00,68
12747,2010-12-13 10:41:00,2010-12-05 15:38:00,7
12748,2010-12-02 11:46:00,2010-12-01 12:48:00,0
12749,2011-08-01 12:48:00,2011-05-10 15:25:00,82
12753,2011-02-09 11:21:00,2010-12-12 11:44:00,58
12754,2011-03-07 13:38:00,2011-02-04 10:31:00,31
12755,2011-03-04 12:42:00,2010-12-09 10:44:00,85
12757,2011-05-12 19:02:00,2011-05-12 19:01:00,0
12758,2011-08-15 10:22:00,2011-03-08 12:05:00,159
12759,2011-06-21 09:26:00,2011-03-09 08:09:00,104
12762,2011-12-02 10:23:00,2011-11-14 14:23:00,17
12763,2011-07-24 14:12:00,2010-12-05 15:46:00,230
12766,2011-01-09 15:56:00,2010-12-08 13:53:00,32
12775,2011-03-22 12:36:00,2011-02-01 13:45:00,48
12778,2011-03-14 08:37:00,2011-01-31 14:35:00,41
12779,2011-01-17 10:37:00,2010-12-03 13:40:00,44
12781,2011-10-07 10:37:00,2011-02-28 08:43:00,221
12782,2011-01-26 10:02:00,2010-12-17 11:30:00,39
12783,2011-10-14 11:42:00,2011-09-25 15:35:00,18
12784,2011-11-30 15:38:00,2011-11-24 12:53:00,6
12787,2011-09-09 12:24:00,2011-05-31 09:36:00,101
12793,2011-01-09 12:12:00,2010-12-03 15:14:00,36
12794,2011-10-17 14:54:00,2011-09-02 12:01:00,45
12798,2011-10-26 13:21:00,2011-06-22 10:11:00,126
12808,2011-06-08 12:21:00,2010-12-06 10:27:00,184
12811,2011-03-23 10:55:00,2011-02-28 15:39:00,22
12815,2011-07-15 10:21:00,2011-05-25 13:34:00,50
12816,2011-09-05 12:41:00,2011-06-16 13:24:00,80
12820,2011-09-26 11:49:00,2011-01-17 12:34:00,251
12822,2011-09-30 10:04:00,2011-09-13 13:46:00,16
12823,2011-02-23 15:03:00,2011-02-16 12:15:00,7
12826,2011-01-19 12:52:00,2010-12-09 15:21:00,40
12827,2011-11-07 11:29:00,2011-10-26 15:44:00,11
12828,2011-08-19 09:23:00,2011-08-01 16:16:00,17
12829,2011-01-07 11:13:00,2010-12-14 14:54:00,23
12830,2011-07-06 10:52:00,2011-06-21 10:53:00,14
12832,2011-11-07 13:30:00,2011-09-02 13:48:00,65
12836,2011-05-04 15:08:00,2011-02-01 11:19:00,92
12838,2011-11-06 12:20:00,2010-12-01 11:57:00,340
12839,2010-12-17 17:33:00,2010-12-07 15:48:00,10
12840,2011-05-09 14:10:00,2011-04-27 12:21:00,12
12841,2010-12-05 12:15:00,2010-12-03 10:43:00,2
12842,2011-09-30 15:33:00,2011-02-04 12:36:00,238
12843,2011-05-03 11:44:00,2011-03-20 14:38:00,43
12844,2011-11-10 13:31:00,2011-08-01 13:11:00,101
12845,2011-03-14 10:55:00,2011-02-22 14:10:00,19
12849,2011-11-08 13:41:00,2011-03-16 12:26:00,237
12853,2011-04-14 12:41:00,2011-01-28 10:28:00,76
12854,2011-04-12 14:17:00,2011-01-25 13:35:00,77
12856,2011-10-14 12:53:00,2011-10-07 12:38:00,7
12857,2011-05-13 10:20:00,2011-02-10 12:32:00,91
12865,2011-11-13 14:31:00,2011-08-08 10:11:00,97
12867,2011-02-14 15:37:00,2010-12-14 16:39:00,61
12868,2011-01-12 15:25:00,2010-12-01 12:50:00,42
12871,2011-09-16 15:07:00,2011-05-16 13:32:00,123
12872,2011-01-17 10:52:00,2010-12-09 14:44:00,38
12875,2011-07-19 15:30:00,2010-12-12 12:03:00,219
12876,2011-10-13 12:26:00,2011-05-27 13:34:00,138
12877,2011-01-14 11:50:00,2010-12-16 12:23:00,28
12878,2011-04-17 13:07:00,2011-03-18 14:02:00,29
12879,2011-09-19 14:27:00,2011-09-09 12:11:00,10
12882,2011-11-30 16:18:00,2011-11-06 11:22:00,24
12883,2011-11-15 09:30:00,2011-09-11 15:18:00,64
12885,2011-10-07 13:34:00,2011-08-08 11:45:00,60
12886,2011-10-03 10:09:00,2011-05-04 11:21:00,151
12888,2011-05-09 16:02:00,2011-03-29 14:31:00,41
12891,2011-05-03 11:33:00,2011-02-20 11:28:00,72
12895,2011-10-28 13:51:00,2011-09-14 08:35:00,44
12897,2011-05-19 12:13:00,2011-02-11 11:40:00,97
12901,2011-03-24 11:07:00,2011-03-14 10:41:00,10
12904,2011-11-21 14:34:00,2011-06-20 13:18:00,154
12906,2011-09-22 15:03:00,2011-09-22 15:03:00,0
12908,2011-06-16 15:39:00,2011-01-31 12:37:00,136
12909,2011-03-31 13:13:00,2011-03-31 12:51:00,0
12910,2011-05-26 10:12:00,2011-04-12 10:01:00,44
12912,2011-11-16 09:34:00,2011-10-30 11:35:00,16
12913,2011-02-11 13:54:00,2010-12-06 16:36:00,66
12915,2011-07-14 11:34:00,2010-12-02 12:33:00,223
12916,2011-03-27 10:54:00,2011-01-23 10:43:00,63
12919,2011-07-12 17:21:00,2011-06-23 09:22:00,19
12921,2010-12-08 10:14:00,2010-12-01 15:06:00,6
12924,2011-03-09 09:50:00,2011-01-16 11:49:00,51
12925,2011-12-05 11:11:00,2011-09-26 11:05:00,70
12928,2011-04-12 10:45:00,2010-12-15 15:45:00,117
12930,2011-09-22 15:18:00,2011-06-21 13:25:00,93
12931,2010-12-17 18:07:00,2010-12-17 09:45:00,0
12933,2011-06-21 16:13:00,2011-03-01 11:30:00,112
12935,2011-05-20 12:38:00,2011-01-24 13:58:00,115
12936,2011-11-18 10:37:00,2011-09-22 13:51:00,56
12937,2011-05-26 14:17:00,2011-03-17 14:19:00,69
12939,2011-02-14 09:47:00,2011-01-09 11:20:00,35
12940,2011-10-16 12:09:00,2011-09-13 10:16:00,33
12942,2011-05-26 11:16:00,2010-12-09 09:34:00,168
12944,2011-11-04 11:04:00,2010-12-20 10:41:00,319
12947,2011-01-07 09:40:00,2010-12-01 16:21:00,36
12948,2011-03-24 10:04:00,2011-03-20 10:17:00,3
12949,2011-05-17 13:27:00,2011-04-01 13:20:00,46
12950,2011-12-01 15:55:00,2011-11-15 13:48:00,16
12951,2011-01-24 10:05:00,2011-01-13 10:33:00,10
12952,2011-10-27 16:59:00,2011-09-22 16:37:00,35
12955,2011-05-04 17:19:00,2011-03-17 09:03:00,48
12957,2011-03-28 15:38:00,2011-01-04 12:18:00,83
12962,2011-12-02 15:55:00,2011-08-18 13:38:00,106
12963,2011-09-16 09:03:00,2010-12-09 09:14:00,280
12967,2010-12-16 19:10:00,2010-12-03 09:49:00,13
12970,2011-01-21 14:21:00,2011-01-21 14:04:00,0
12971,2010-12-07 11:11:00,2010-12-02 16:42:00,4
12980,2011-01-12 11:53:00,2010-12-16 11:36:00,27
12981,2011-11-10 12:00:00,2011-07-29 14:14:00,103
12985,2011-12-09 10:46:00,2011-11-11 12:44:00,27
12987,2011-09-27 12:03:00,2011-05-26 12:00:00,124
12989,2011-01-16 12:44:00,2010-12-10 13:24:00,36
12990,2011-06-07 14:27:00,2011-02-02 15:39:00,124
12991,2011-11-16 15:34:00,2011-08-19 14:39:00,89
12993,2011-05-16 10:28:00,2011-02-14 14:29:00,90
12994,2011-08-11 17:02:00,2011-03-16 08:31:00,148
12997,2011-04-17 13:02:00,2011-01-26 15:49:00,80
12999,2011-05-18 16:37:00,2011-04-08 10:26:00,40
13000,2011-03-25 10:14:00,2010-12-10 10:26:00,104
13001,2011-01-25 14:53:00,2011-01-17 12:45:00,8
13003,2011-07-11 13:06:00,2011-05-09 08:23:00,63
13004,2011-01-10 10:32:00,2010-12-17 08:20:00,24
13005,2011-06-19 10:53:00,2011-04-07 13:32:00,72
13012,2011-05-04 10:15:00,2011-02-18 09:43:00,75
13013,2010-12-03 12:29:00,2010-12-03 12:28:00,0
13014,2011-03-22 11:27:00,2011-03-03 18:28:00,18
13015,2011-04-04 14:42:00,2011-04-04 14:28:00,0
13016,2011-09-27 14:07:00,2011-08-08 15:00:00,49
13018,2011-02-24 13:46:00,2011-02-17 11:05:00,7
13021,2011-03-21 09:33:00,2010-12-16 10:12:00,94
13023,2011-10-06 16:27:00,2011-08-02 09:34:00,65
13026,2011-05-03 10:51:00,2011-03-09 11:35:00,54
13027,2011-03-16 13:13:00,2010-12-20 12:45:00,86
13028,2011-11-17 11:10:00,2011-10-25 14:09:00,22
13029,2011-07-24 11:37:00,2010-12-21 13:53:00,214
13030,2011-11-28 14:30:00,2010-12-06 14:31:00,356
13032,2011-10-18 15:54:00,2011-09-13 16:40:00,34
13034,2011-10-16 12:21:00,2010-12-05 14:52:00,314
13035,2011-09-27 08:57:00,2011-03-24 09:21:00,186
13037,2011-05-04 15:33:00,2011-03-28 15:42:00,36
13038,2011-06-09 10:31:00,2011-02-22 11:43:00,106
13040,2011-12-01 10:38:00,2011-11-06 13:53:00,24
13046,2011-11-09 08:36:00,2011-03-18 15:43:00,235
13047,2010-12-01 08:34:00,2010-12-01 08:34:00,0
13048,2011-04-15 13:31:00,2011-01-16 14:36:00,88
13049,2011-10-06 15:31:00,2011-01-25 16:33:00,253
13050,2010-12-14 09:52:00,2010-12-08 09:30:00,6
13055,2011-09-22 14:25:00,2011-05-10 08:58:00,135
13058,2011-10-12 13:28:00,2011-07-11 12:01:00,93
13064,2011-07-10 11:34:00,2011-01-16 13:41:00,174
13066,2011-11-15 12:57:00,2011-11-07 17:06:00,7
13068,2011-11-29 15:00:00,2011-01-24 08:20:00,309
13069,2010-12-05 11:03:00,2010-12-05 11:02:00,0
13077,2011-02-22 16:15:00,2010-12-08 14:59:00,76
13078,2010-12-15 09:51:00,2010-12-08 09:07:00,7
13079,2011-09-09 15:25:00,2011-07-22 14:41:00,49
13081,2010-12-03 17:21:00,2010-12-03 17:20:00,0
13082,2011-03-15 08:18:00,2011-01-05 15:42:00,68
13083,2011-12-05 15:01:00,2011-09-25 10:46:00,71
13085,2011-07-05 12:11:00,2011-02-17 13:57:00,137
13089,2010-12-06 13:59:00,2010-12-05 10:27:00,1
13090,2010-12-09 12:12:00,2010-12-02 07:48:00,7
13092,2011-03-07 14:54:00,2010-12-15 12:27:00,82
13093,2010-12-16 09:44:00,2010-12-01 15:00:00,14
13094,2011-01-04 10:37:00,2010-12-06 10:34:00,29
13097,2011-01-06 09:40:00,2010-12-14 15:13:00,22
13098,2011-02-08 11:32:00,2011-01-26 13:46:00,12
13102,2010-12-14 13:44:00,2010-12-09 13:38:00,5
13104,2011-03-17 13:27:00,2010-12-20 11:58:00,87
13107,2011-06-17 08:57:00,2011-01-10 12:28:00,157
13109,2011-10-11 10:16:00,2011-07-05 14:56:00,97
13110,2011-03-01 14:58:00,2011-02-01 15:24:00,27
13113,2011-01-12 13:10:00,2010-12-08 13:21:00,34
13115,2011-10-12 12:42:00,2011-06-08 16:15:00,125
13117,2010-12-09 14:50:00,2010-12-02 13:11:00,7
13118,2011-03-31 19:12:00,2011-02-24 12:32:00,35
13122,2011-09-06 15:53:00,2011-04-13 14:12:00,146
13124,2011-04-01 14:58:00,2010-12-15 15:00:00,106
13126,2010-12-08 11:43:00,2010-12-08 11:42:00,0
13131,2011-09-29 17:16:00,2011-06-05 10:54:00,116
13133,2011-03-11 10:31:00,2011-02-08 15:48:00,30
13134,2011-04-19 16:37:00,2011-04-13 12:57:00,6
13136,2011-07-20 12:00:00,2011-05-11 12:47:00,69
13137,2011-04-01 11:34:00,2011-02-04 11:54:00,55
13138,2011-04-13 09:59:00,2010-12-02 15:03:00,131
13139,2011-05-08 16:03:00,2011-03-25 11:57:00,44
13140,2011-08-16 13:13:00,2010-12-08 15:12:00,250
13141,2011-01-28 14:42:00,2011-01-28 13:04:00,0
13145,2011-08-04 19:06:00,2010-12-02 18:06:00,245
13147,2011-10-27 16:35:00,2011-09-01 12:28:00,56
13148,2011-01-30 13:48:00,2010-12-10 13:06:00,51
13149,2011-07-13 13:20:00,2011-02-23 13:57:00,139
13155,2011-01-17 11:21:00,2010-12-06 12:44:00,41
13157,2011-04-12 14:04:00,2011-02-14 14:03:00,57
13158,2011-07-07 13:05:00,2011-01-25 09:58:00,163
13159,2011-08-25 15:12:00,2011-08-16 11:44:00,9
13162,2011-04-20 15:38:00,2011-01-09 10:43:00,101
13165,2011-10-24 15:05:00,2010-12-23 14:06:00,305
13167,2011-08-01 12:12:00,2011-07-19 12:13:00,12
13168,2011-02-20 15:06:00,2011-01-25 13:55:00,26
13169,2011-10-07 12:11:00,2011-04-01 14:24:00,188
13171,2011-10-21 16:18:00,2011-02-13 14:16:00,250
13173,2011-12-05 15:51:00,2010-12-07 14:30:00,363
13174,2011-01-27 15:36:00,2010-12-05 16:24:00,52
13178,2011-02-17 12:55:00,2010-12-14 12:22:00,65
13183,2011-03-24 10:37:00,2011-01-09 10:50:00,73
13184,2011-04-01 12:24:00,2011-02-22 17:25:00,37
13186,2011-09-07 11:46:00,2011-08-03 09:09:00,35
13189,2011-11-21 10:39:00,2011-08-16 13:12:00,96
13192,2011-09-05 14:13:00,2011-05-18 14:57:00,109
13196,2011-09-16 12:48:00,2011-03-22 14:24:00,177
13198,2011-01-25 13:26:00,2010-12-13 09:29:00,43
13199,2010-12-16 14:25:00,2010-12-08 10:51:00,8
13200,2011-09-26 14:00:00,2011-08-05 14:50:00,51
13203,2011-08-11 10:29:00,2011-04-11 14:40:00,121
13207,2011-11-24 14:52:00,2011-07-12 11:35:00,135
13208,2011-04-13 12:57:00,2011-02-03 19:32:00,68
13209,2011-01-17 14:27:00,2010-12-13 10:31:00,35
13211,2011-09-05 17:36:00,2010-12-13 16:17:00,266
13212,2011-10-09 15:17:00,2011-10-09 14:48:00,0
13213,2011-05-24 15:33:00,2011-05-24 12:22:00,0
13217,2011-07-31 10:43:00,2011-07-06 12:08:00,24
13220,2011-05-04 11:26:00,2011-04-17 10:59:00,17
13221,2011-04-13 16:58:00,2010-12-15 13:24:00,119
13223,2011-05-23 13:03:00,2011-04-21 15:16:00,31
13224,2011-10-10 14:55:00,2011-07-11 14:10:00,91
13225,2011-01-05 16:28:00,2010-12-13 09:49:00,23
13230,2011-01-23 13:33:00,2010-12-09 19:28:00,44
13232,2011-05-15 12:33:00,2011-04-10 13:48:00,34
13233,2011-09-26 13:25:00,2011-01-07 14:49:00,261
13236,2011-11-15 12:50:00,2011-08-25 08:58:00,82
13238,2011-06-29 12:12:00,2010-12-14 14:37:00,196
13240,2011-03-27 15:33:00,2010-12-09 12:49:00,108
13242,2011-05-10 12:28:00,2011-05-10 12:26:00,0
13246,2011-01-17 15:50:00,2011-01-13 13:36:00,4
13247,2011-10-19 14:20:00,2011-09-18 11:31:00,31
13248,2011-08-07 12:40:00,2011-06-03 13:05:00,64
